[2025-12-02 10:17:49.313] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CONFIG, Unit=, StoredUnit=, CmdCode=0x00B4, StoredCmdName=CURVE_CONFIG
[2025-12-02 10:17:49.315] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CV, Unit=V, StoredUnit=V, CmdCode=0x00B1, StoredCmdName=CURVE_CV
[2025-12-02 10:17:49.317] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CV_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B6, StoredCmdName=CURVE_CV_TIMEOUT
[2025-12-02 10:17:49.318] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CV, Unit=V, StoredUnit=V, CmdCode=0x00B1, StoredCmdName=CURVE_CV
[2025-12-02 10:17:49.320] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CV, Unit=V, StoredUnit=V, CmdCode=0x00B1, StoredCmdName=CURVE_CV
[2025-12-02 10:17:49.321] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CV_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B6, StoredCmdName=CURVE_CV_TIMEOUT
[2025-12-02 10:17:49.322] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_FV, Unit=V, StoredUnit=V, CmdCode=0x00B2, StoredCmdName=CURVE_FV
[2025-12-02 10:17:49.324] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CV_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B6, StoredCmdName=CURVE_CV_TIMEOUT
[2025-12-02 10:17:49.328] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CV_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B6, StoredCmdName=CURVE_CV_TIMEOUT
[2025-12-02 10:17:49.329] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_FV, Unit=V, StoredUnit=V, CmdCode=0x00B2, StoredCmdName=CURVE_FV
[2025-12-02 10:17:49.331] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_FV_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B7, StoredCmdName=CURVE_FV_TIMEOUT
[2025-12-02 10:17:49.332] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_FV, Unit=V, StoredUnit=V, CmdCode=0x00B2, StoredCmdName=CURVE_FV
[2025-12-02 10:17:49.334] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_FV, Unit=V, StoredUnit=V, CmdCode=0x00B2, StoredCmdName=CURVE_FV
[2025-12-02 10:17:49.336] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_FV_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B7, StoredCmdName=CURVE_FV_TIMEOUT
[2025-12-02 10:17:49.337] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_TC, Unit=A, StoredUnit=A, CmdCode=0x00B3, StoredCmdName=CURVE_TC
[2025-12-02 10:17:49.339] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_FV_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B7, StoredCmdName=CURVE_FV_TIMEOUT
[2025-12-02 10:17:49.340] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_FV_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B7, StoredCmdName=CURVE_FV_TIMEOUT
[2025-12-02 10:17:49.342] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_TC, Unit=A, StoredUnit=A, CmdCode=0x00B3, StoredCmdName=CURVE_TC
[2025-12-02 10:17:49.343] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_CONFIG, Unit=, StoredUnit=, CmdCode=0x0101, StoredCmdName=INV_CONFIG
[2025-12-02 10:17:49.345] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_TC, Unit=A, StoredUnit=A, CmdCode=0x00B3, StoredCmdName=CURVE_TC
[2025-12-02 10:17:49.347] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_TC, Unit=A, StoredUnit=A, CmdCode=0x00B3, StoredCmdName=CURVE_TC
[2025-12-02 10:17:49.349] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_CONFIG, Unit=, StoredUnit=, CmdCode=0x0101, StoredCmdName=INV_CONFIG
[2025-12-02 10:17:49.350] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_FAULT, Unit=, StoredUnit=, CmdCode=0x011E, StoredCmdName=INV_FAULT
[2025-12-02 10:17:49.352] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_CONFIG, Unit=, StoredUnit=, CmdCode=0x0101, StoredCmdName=INV_CONFIG
